R;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
A;Jovic;Milan;9;10;-1;8;9;-1;16;15
A;Odgaard;Bologna;9;10;-1;10;11;-1;13;15
A;Ekuban;Genoa;9;9;0;9;9;0;10;10
A;Mota;Monza;9;10;-1;9;10;-1;22;22
A;Ngonge;Napoli;9;9;0;10;10;0;12;16
A;Benedyczak;Parma;9;10;-1;9;10;-1;20;22
A;Bonny;Parma;9;8;1;8;7;1;42;40
A;Arnautovic;Inter;8;8;0;7;7;0;20;16
A;Mihaila;Parma;8;8;0;9;9;0;17;20
A;Banda;Lecce;8;9;-1;9;10;-1;13;16
A;Brenner;Udinese;8;7;1;8;7;1;26;24
A;Castro S.;Bologna;8;8;0;7;7;0;47;45
A;Cancellieri;Parma;6;4;2;6;4;2;13;13
A;Davis K.;Udinese;6;6;0;4;5;-1;8;6
A;Rocha Livramento;Verona;6;4;2;5;3;2;12;10
A;Petagna;Monza;5;5;0;3;3;0;13;10
A;Shomurodov;Roma;5;3;2;5;3;2;6;6
A;Gytkjaer;Venezia;5;5;0;4;4;0;10;10
A;Mbangula;Juventus;5;1;4;5;1;4;17;17
A;Dominguez B.;Bologna;5;5;0;5;5;0;11;11
A;Rebic;Lecce;4;4;0;4;4;0;7;7
A;Pierini;Venezia;4;3;1;4;3;1;8;8
A;Kouame';Fiorentina;4;4;0;4;4;0;13;13
A;Esposito Se.;Empoli;4;3;1;4;3;1;15;15
A;Solbakken;Empoli;4;3;1;4;3;1;12;12
A;Sarr A.;Verona;4;4;0;4;4;0;7;7
A;Pierotti;Lecce;4;4;0;4;4;0;4;4
A;Tavsan;Verona;4;4;0;4;4;0;4;5
A;Bravo;Udinese;4;4;0;4;4;0;8;8
A;Pavoletti;Cagliari;3;3;0;3;3;0;5;5
A;Correa;Inter;3;3;0;3;3;0;7;7
A;Pellegri;Torino;3;3;0;3;3;0;4;4
A;Pedro;Lazio;3;3;0;3;3;0;5;5
A;Shpendi S.;Empoli;3;3;0;3;3;0;5;5
A;Pizarro;Udinese;3;3;0;3;3;0;7;7
A;Cerri;Como;2;1;1;2;1;1;1;1
A;Raimondo;Venezia;2;1;1;2;1;1;2;2
A;Gabrielloni;Como;2;2;0;2;1;1;2;1
A;Partipilo;Parma;2;2;0;2;2;0;2;2
A;Karamoh;Torino;1;1;0;1;1;0;1;1
A;Burnete;Lecce;1;1;0;1;1;0;1;1
A;Cruz;Verona;1;1;0;1;1;0;1;1
A;Camarda;Milan;1;1;0;1;1;0;1;1
A;Ankeye;Genoa;1;1;0;1;1;0;1;1
A;Mutandwa;Cagliari;1;1;0;1;1;0;2;2
A;Joao Costa;Roma;1;1;0;1;1;0;1;1
A;Jasim;Como;1;1;0;1;1;0;1;1
A;Charpentier;Parma;1;1;0;1;1;0;1;1
A;Ekhator;Genoa;1;1;0;1;1;0;1;1
