R;Rm;Nome;Squadra;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
C;W;Orsolini;Bologna;6,16;7,06;10;0;0;3;2;1;2;2;0;0
C;W;Politano;Napoli;6,19;6,89;8;0;0;3;2;1;7;2;1;0
C;"C;T";Colpani;Monza;6,2;6,92;8;0;0;0;0;0;4;1;0;0
C;W;Candreva;Salernitana;6,21;6,87;6;0;0;1;1;0;7;5;0;0
C;"C;T";Pellegrini Lo.;Roma;6,14;6,95;8;0;0;1;1;0;3;7;0;0
C;C;Frattesi;Inter;6,27;7;6;0;0;0;0;0;3;1;0;0
C;"C;T";Bonaventura;Fiorentina;6,21;6,89;8;0;0;1;0;1;3;6;0;0
C;T;Pasalic;Atalanta;6,21;6,89;6;0;0;2;2;0;6;3;0;0
C;"C;T";Luis Alberto;Lazio;6,27;6,84;5;0;0;0;0;0;7;7;0;0
C;"C;T";Ferguson;Bologna;6,39;6,94;6;0;0;0;0;0;3;8;0;0
C;"C;T";Mkhitaryan;Inter;6,4;6,68;2;0;0;0;0;0;6;4;0;0
C;"C;T";Samardzic;Udinese;6,18;6,74;6;0;0;1;1;0;2;3;0;0
C;C;Fabbian;Bologna;6,23;6,86;5;0;0;0;0;0;1;4;0;0
C;"M;C";Vecino;Lazio;6,16;6,78;6;0;0;0;0;0;1;8;0;0
C;"T;A";Miranchuk;Atalanta;6,2;6,82;3;0;0;0;0;0;5;1;0;0
C;"C;T";Ederson D.s.;Atalanta;6,14;6,56;6;0;0;0;0;0;1;8;0;0
C;"W;A";Felipe Anderson;Lazio;6,08;6,59;5;0;0;0;0;0;6;3;0;0
C;C;Barella;Inter;6,38;6,53;2;0;0;0;0;0;3;7;0;0
C;"W;T";Oudin;Lecce;6,18;6,48;3;0;0;0;0;0;2;3;0;0
C;"W;A";Zaccagni;Lazio;6,23;6,77;6;0;0;0;0;0;1;8;0;0
C;"M;C";Mazzitelli;Frosinone;6,1;6,52;5;0;0;0;0;0;0;4;1;0
C;C;Loftus-Cheek;Milan;6,12;6,69;6;0;0;0;0;0;1;5;0;0
C;"C;T";Gaetano;Cagliari;6,12;6,88;5;0;0;1;1;0;0;2;1;0
C;"E;M";Frendrup;Genoa;6,23;6,42;2;0;0;0;0;0;4;6;0;0
C;"C;W";Pereyra;Udinese;6,12;6,58;4;0;0;1;1;0;3;6;0;0
C;C;Viola;Cagliari;6,2;6,7;5;0;0;1;0;1;2;3;0;0
C;"M;C";Cristante;Roma;6,11;6,35;3;0;0;0;0;0;4;8;0;0
C;C;Rabiot;Juventus;6,08;6,5;5;0;0;0;0;0;2;8;0;0
C;"M;C";Brescianini;Frosinone;6,09;6,44;4;0;0;0;0;0;1;1;0;0
C;W;Tchaouna;Salernitana;6,07;6,52;4;0;0;0;0;0;3;4;0;0
C;"C;T";Pessina;Monza;6,07;6,46;6;0;0;5;4;1;2;3;1;0
C;W;Saelemaekers;Bologna;6,08;6,47;4;0;0;0;0;0;3;5;1;0
C;"T;A";Maldini;Monza;6,19;6,97;4;0;0;0;0;0;1;1;0;0
C;"T;A";Carboni V.;Monza;6,02;6,32;2;0;0;0;0;0;2;2;0;0
C;"M;C";Reijnders;Milan;6,12;6,38;3;0;0;0;0;0;4;8;0;0
C;"W;A";El Shaarawy;Roma;6,05;6,4;3;0;0;0;0;0;2;2;0;0
C;"M;C";Bennacer;Milan;6,08;6,47;2;0;0;1;1;0;2;2;0;0
C;T;Malinovskyi;Genoa;6,22;6,63;4;0;0;0;0;0;1;7;0;0
C;C;Mckennie;Juventus;6,2;6,32;0;0;0;0;0;0;7;6;0;0
C;"W;T";Vlasic;Torino;6,02;6,3;3;0;0;0;0;0;2;3;0;0
C;"M;C";Harroui;Frosinone;6,15;6,79;3;0;0;1;1;0;3;2;0;0
C;"C;T";Thorstvedt;Sassuolo;5,94;6,4;6;0;0;0;0;0;1;7;0;0
C;"C;W;T";Suslov;Verona;6,12;6,47;3;0;0;1;1;0;5;7;0;0
C;C;Duncan;Fiorentina;6,08;6,46;2;0;0;0;0;0;5;2;0;0
C;"M;C";Arthur Melo;Fiorentina;6,12;6,34;2;0;0;1;1;0;2;2;0;0
C;"M;C";Dominguez;Bologna;5,75;5,75;0;0;0;0;0;0;0;0;0;0
C;"C;T";Folorunsho;Verona;6;6,41;5;0;0;0;0;0;1;5;0;0
C;"C;T";Zielinski;Napoli;5,94;6,33;3;0;0;1;1;0;2;1;0;0
C;"M;C";Badelj;Genoa;6,05;6,14;1;0;0;0;0;0;3;6;0;0
C;"M;C";Mandragora;Fiorentina;5,95;6,28;3;0;0;0;0;0;3;5;0;0
C;T;Barak;Fiorentina;6,08;6,62;2;0;0;0;0;0;2;2;0;0
C;"C;T";Guendouzi;Lazio;6,02;6,21;2;0;0;0;0;0;3;3;1;0
C;"M;C";Thorsby;Genoa;5,98;6,31;2;0;0;0;0;0;2;2;0;0
C;"C;W;T";Elmas;Napoli;6;6,56;2;0;0;0;0;0;0;2;0;0
C;"E;C";Nandez;Cagliari;6,03;6,2;2;0;0;1;1;0;2;7;0;0
C;C;Ilic;Torino;6,07;6,38;3;0;0;0;0;0;1;3;0;0
C;W;Radonjic;Torino;6,06;7,19;3;0;0;0;0;0;0;1;0;0
C;"M;C";Asllani;Inter;6,22;6,5;1;0;0;0;0;0;2;1;0;0
C;"C;T";Alcaraz;Juventus;5,93;6,07;0;0;0;0;0;0;1;0;0;0
C;"E;W";Lazovic;Verona;5,87;6,19;3;0;0;1;1;0;2;0;1;0
C;"M;C";Paredes;Roma;5,99;6,13;3;0;0;3;3;0;4;14;1;0
C;"M;C";Freuler;Bologna;6,11;6,06;1;0;0;0;0;0;0;9;0;0
C;"C;T";Aouar;Roma;5,92;6,73;4;0;0;0;0;0;0;3;0;0
C;"C;T";Castrovilli;Fiorentina;6,3;7,3;1;0;0;0;0;0;2;0;0;0
C;W;Messias;Genoa;6,18;6,35;1;0;0;0;0;0;0;0;0;0
C;"T;A";Baldanzi;Roma;6,08;6,27;2;0;0;0;0;0;0;3;0;0
C;"M;C";Hjulmand;Lecce;0;0;0;0;0;0;0;0;0;0;0;0
C;"W;T;A";Oristanio;Cagliari;6,1;6,38;2;0;0;0;0;0;1;1;0;0
C;"M;C";Locatelli;Juventus;5,83;5,94;1;0;0;0;0;0;4;6;0;0
C;"C;T";Kastanos;Salernitana;6;6,29;3;0;0;0;0;0;0;5;0;0
C;"M;C";Walace;Udinese;5,93;6;2;0;0;0;0;0;0;7;0;0
C;"M;C";Matic;Roma;0;0;0;0;0;0;0;0;0;0;0;0
C;"C;T";Duda;Verona;6,05;5,98;1;0;0;1;0;1;5;10;2;0
C;W;Strefezza;Lecce;5,82;5,87;1;0;0;1;1;0;0;4;0;0
C;"W;A";Chukwueze;Milan;6,02;6,25;1;0;0;0;0;0;2;1;0;0
C;C;Maggiore;Salernitana;5,87;6,19;4;0;0;0;0;0;1;7;1;0
C;"W;A";Ndoye;Bologna;6,02;6,08;1;0;0;0;0;0;1;4;0;0
C;W;Iling Junior;Juventus;5,98;6,2;1;0;0;0;0;0;2;1;0;0
C;"M;C";El Azzouzi;Bologna;6,11;6,83;2;0;0;0;0;0;2;4;0;0
C;"M;C";De Roon;Atalanta;5,97;5,97;0;0;0;0;0;0;5;10;0;0
C;"W;T";Verdi;Torino;0;0;0;0;0;0;0;0;0;0;0;0
C;"M;C";Gagliardini;Monza;5,88;5,92;1;0;0;0;0;0;1;5;0;0
C;W;Sottil;Fiorentina;5,97;6,44;2;0;0;0;0;0;3;1;0;0
C;"M;C";Lobotka;Napoli;5,93;5,91;0;0;0;0;0;0;1;4;0;0
C;C;Zurkowski;Empoli;6,04;6,81;4;0;0;0;0;0;0;4;0;0
C;"M;C";Schouten;Bologna;0;0;0;0;0;0;0;0;0;0;0;0
C;W;Ikone';Fiorentina;5,79;6,08;3;0;0;0;0;0;1;5;0;0
C;"E;W";Kostic;Juventus;5,91;5,98;0;0;0;0;0;0;3;2;0;0
C;"M;C";Marin;Empoli;5,98;6,02;0;0;0;0;0;0;2;3;0;0
C;T;Bajrami;Sassuolo;5,94;6,27;2;0;0;0;0;0;2;0;0;0
C;C;Matheus Henrique;Sassuolo;5,79;5,92;2;0;0;0;0;0;2;6;1;0
C;"T;A";Sabiri;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0
C;"C;T";Lovric;Udinese;5,97;6,09;1;0;0;0;0;0;2;1;1;0
C;"C;T";Kamada;Lazio;5,88;6,1;2;0;0;0;0;0;1;3;0;0
C;C;Zarraga;Udinese;6,07;6,93;2;0;0;0;0;0;0;0;0;0
C;"C;T";Serdar;Verona;6,07;5,96;0;0;0;0;0;0;1;7;0;0
C;"M;C";Strootman;Genoa;5,96;5,96;0;0;0;0;0;0;2;4;0;0
C;"M;C";Zambo Anguissa;Napoli;5,82;5,85;0;0;0;0;0;0;2;2;0;0
C;"W;T";Reinier;Frosinone;5,97;6,31;2;0;0;0;0;0;1;3;0;0
C;"M;C";Racic;Sassuolo;5,89;6,08;1;0;0;0;0;0;1;1;0;0
C;"C;T";Kovalenko;Empoli;5,94;6,16;1;0;0;0;0;0;1;1;0;0
C;C;Bove;Roma;5,96;5,96;0;0;0;0;0;0;1;2;0;0
C;"M;C";Ricci S.;Torino;5,9;5,87;1;0;0;0;0;0;0;6;1;0
C;"C;W;T";Aebischer;Bologna;6;5,9;0;0;0;0;0;0;1;8;0;0
C;T;Adli;Milan;5,98;6,14;1;0;0;0;0;0;2;3;0;0
C;C;Gonzalez J.;Lecce;5,94;5,94;1;0;0;0;0;0;0;6;0;0
C;"M;C";Moro N.;Bologna;6,03;6,21;1;0;0;0;0;0;0;0;0;0
C;"M;C";Prati;Cagliari;5,92;6;1;0;0;0;0;0;1;4;0;0
C;"C;T";Payero;Udinese;5,88;6,02;2;0;0;0;0;0;2;6;1;0
C;"M;C";Rovella;Lazio;6,12;6,07;0;0;0;0;0;0;2;6;0;0
C;"M;C";Amrabat;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0
C;"W;A";Gyasi;Empoli;5,66;5,69;1;0;0;0;0;0;2;9;0;0
C;T;Volpato;Sassuolo;5,85;6;1;0;0;0;0;0;0;1;0;0
C;"M;C";Blin;Lecce;5,79;5,75;0;0;0;0;0;0;1;4;0;0
C;"C;T";Bondo;Monza;5,84;5,78;1;0;0;0;0;0;0;9;0;0
C;"C;T";Fazzini;Empoli;5,92;5,96;1;0;0;0;0;0;1;6;0;0
C;"M;C";Sulemana I.;Cagliari;5,89;6,13;2;0;0;0;0;0;0;4;0;0
C;"M;C";Boloca;Sassuolo;5,85;5,82;1;0;0;0;0;0;0;6;1;0
C;E;Buchanan;Inter;6,07;6,5;1;0;0;0;0;0;0;0;0;0
C;W;Mitrovic S.;Verona;5,9;5,9;0;0;0;0;0;0;0;0;0;0
C;"W;T";Saponara;Verona;6;6;0;0;0;0;0;0;0;0;0;0
C;"M;C";Cataldi;Lazio;5,98;5,95;1;0;0;0;0;0;0;8;0;0
C;"M;C";Deiola;Cagliari;5,7;5,59;1;0;0;0;0;0;0;7;0;1
C;"E;C";Jankto;Cagliari;5,84;6,16;1;0;0;0;0;0;2;0;0;0
C;"M;C";Linetty;Torino;5,92;5,69;0;0;0;0;0;0;0;12;0;0
C;"W;T";Vignato;Salernitana;6;6,07;0;0;0;0;0;0;1;1;0;0
C;"W;T";Traore' Hj.;Napoli;5,81;5,75;0;0;0;0;0;0;0;1;0;0
C;"E;W";Weah;Juventus;5,92;5,86;0;0;0;0;0;0;1;5;0;0
C;"M;C";Tameze;Torino;5,79;5,73;0;0;0;0;0;0;2;6;1;0
C;C;Musah;Milan;5,92;5,86;0;0;0;0;0;0;1;5;0;0
C;"C;T";Urbanski;Bologna;5,92;5,83;0;0;0;0;0;0;0;3;0;0
C;C;Maleh;Empoli;5,79;5,66;0;0;0;0;0;0;1;11;0;0
C;"M;C";Hongla;Verona;5,82;5,82;0;0;0;0;0;0;0;0;0;0
C;"M;C";Coulibaly L.;Salernitana;5,72;5,65;0;0;0;0;0;0;0;5;0;0
C;W;Zerbin;Monza;5,78;5,78;0;0;0;0;0;0;1;0;1;0
C;"M;C";Barrenechea;Frosinone;5,84;5,73;0;0;0;0;0;0;1;10;0;0
C;"C;T";Rafia;Lecce;5,92;5,88;1;0;0;0;0;0;0;4;0;1
C;"M;C";Ramadani;Lecce;5,82;5,72;1;0;0;0;0;0;0;13;0;0
C;W;Tchatchoua;Verona;5,76;5,76;0;0;0;0;0;0;1;2;0;0
C;M;Grassi;Empoli;5,92;5,77;0;0;0;0;0;0;1;4;1;1
C;"W;T";Aramu;Genoa;0;0;0;0;0;0;0;0;0;0;0;0
C;C;Renato Sanches;Roma;5,8;6,2;1;0;0;0;0;0;0;2;0;0
C;"C;T";Fagioli;Juventus;6,06;6,25;0;0;0;0;0;0;2;1;0;0
C;"M;C";Akpa Akpro;Monza;5,82;5,64;0;0;0;0;0;0;0;5;0;0
C;E;Zalewski;Roma;5,8;5,77;0;0;0;0;0;0;1;1;1;0
C;"C;T";Miretti;Juventus;5,78;5,9;1;0;0;0;0;0;1;3;0;0
C;"M;C";Marcos Antonio;Lazio;0;0;0;0;0;0;0;0;0;0;0;0
C;"E;W";Ciurria;Monza;5,86;5,86;0;0;0;0;0;0;1;2;0;0
C;C;Ranocchia F.;Empoli;5,89;5,72;0;0;0;0;0;0;0;3;0;0
C;W;Mboula;Verona;5,71;5,86;0;0;0;0;0;0;1;0;0;0
C;"M;C";Makoumbou;Cagliari;5,62;5,61;1;0;0;0;0;0;0;3;2;0
C;"C;W;T";Gelli;Frosinone;5,85;5,78;0;0;0;0;0;0;0;3;0;0
C;"M;C";Cajuste;Napoli;5,8;5,68;0;0;0;0;0;0;1;7;0;0
C;"M;C";Legowski;Salernitana;5,72;5,65;0;0;0;0;0;0;0;3;0;0
C;"M;C";Kutlu;Genoa;6;6;0;0;0;0;0;0;0;0;0;0
C;"C;W;T";Ibrahimovic A.;Frosinone;6,06;6,5;1;0;0;0;0;0;1;1;0;0
C;"M;C";Dani Silva;Verona;5,83;5,72;0;0;0;0;0;0;0;2;0;0
C;"M;C";Krunic;Milan;5,89;5,72;0;0;0;0;0;0;0;3;0;0
C;"C;T";Sensi;Inter;6,5;6,5;0;0;0;0;0;0;0;0;0;0
C;"M;C";Haas;Empoli;5,5;5;0;0;0;0;0;0;0;1;0;0
C;"C;T";Klaassen;Inter;6;6;0;0;0;0;0;0;0;1;0;0
C;"C;T";Henderson L.;Empoli;0;0;0;0;0;0;0;0;0;0;0;0
C;"M;C";Lopez M.;Fiorentina;5,75;5,66;0;0;0;0;0;0;0;1;1;0
C;C;Kourfalidis;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0
C;"M;C";Bohinen;Genoa;5,86;5,82;0;0;0;0;0;0;0;1;0;0
C;"T;A";Vignato S.;Monza;6;6,25;1;0;0;0;0;0;0;2;0;0
C;"W;T";Lindstrom;Napoli;5,91;5,84;0;0;0;0;0;0;0;2;0;0
C;C;Gineitis;Torino;6,05;5,95;0;0;0;0;0;0;0;2;0;0
C;"M;C";Lipani;Sassuolo;6;6;0;0;0;0;0;0;0;0;0;0
C;"M;C";Kaba;Lecce;5,82;5,73;0;0;0;0;0;0;0;2;1;0
C;T;Martegani;Salernitana;5,83;6;1;0;0;0;0;0;0;1;0;0
C;C;Lulic K.;Frosinone;6;6;0;0;0;0;0;0;0;0;0;0
C;W;Baez;Frosinone;6;6,25;1;0;0;0;0;0;0;1;0;0
C;C;Coulibaly M.;Salernitana;0;0;0;0;0;0;0;0;0;0;0;0
C;"C;T";Valoti;Monza;0;0;0;0;0;0;0;0;0;0;0;0
C;M;Dendoncker;Napoli;0;0;0;0;0;0;0;0;0;0;0;0
C;"M;C";Nicolussi Caviglia;Juventus;5,92;6;0;0;0;0;0;0;1;1;0;0
C;"M;C";Obiang;Sassuolo;5,57;5,5;0;0;0;0;0;0;0;1;0;0
C;"M;C";Adopo;Atalanta;5,75;6;0;0;0;0;0;0;1;0;0;0
C;C;Basic;Salernitana;5,54;5,36;0;0;0;0;0;0;0;5;0;0
C;"M;C";Belahyane;Verona;6,25;6,25;0;0;0;0;0;0;0;0;0;0
C;"M;C";Amatucci;Fiorentina;5,5;5,5;0;0;0;0;0;0;0;0;0;0
C;"W;T";Infantino;Fiorentina;5,83;5,67;0;0;0;0;0;0;0;1;0;0
C;"C;T";Pagano;Roma;6;6;0;0;0;0;0;0;0;0;0;0
C;"C;W";Gomis I.;Salernitana;5,7;5,7;0;0;0;0;0;0;0;0;0;0
C;"E;W";D'Alessandro;Monza;0;0;0;0;0;0;0;0;0;0;0;0
C;"W;T";Gomez;Monza;6,25;6,25;0;0;0;0;0;0;0;0;0;0
C;T;Mancosu;Cagliari;5,33;4,33;0;0;0;1;0;1;0;0;0;0
C;"C;T";Pogba;Juventus;6;6;0;0;0;0;0;0;0;0;0;0
C;C;Benassi;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0
C;C;Machin;Monza;5,94;5,81;0;0;0;0;0;0;0;2;0;0
C;"M;C";Rog;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0
C;C;Melegoni;Genoa;0;0;0;0;0;0;0;0;0;0;0;0
C;"W;T";Garritano;Frosinone;5,9;5,85;0;0;0;0;0;0;0;1;0;0
C;"C;T";Crociata;Empoli;0;0;0;0;0;0;0;0;0;0;0;0
C;W;Castillejo;Sassuolo;5,77;5,68;0;0;0;0;0;0;0;2;0;0
C;"M;C";Bourabia;Frosinone;5,5;5,4;0;0;0;0;0;0;0;1;0;0
C;C;Jagiello;Genoa;5;5;0;0;0;0;0;0;0;0;0;0
C;M;Demme;Napoli;6,25;6,5;0;0;0;0;0;0;1;1;0;0
C;"C;W;T";Quina;Udinese;0;0;0;0;0;0;0;0;0;0;0;0
C;C;Pobega;Milan;5,93;5,93;0;0;0;0;0;0;0;0;0;0
C;W;Romero L.;Milan;6;5,75;0;0;0;0;0;0;0;1;0;0
C;"C;T";Pyyhtia;Bologna;0;0;0;0;0;0;0;0;0;0;0;0
C;"T;A";Pafundi;Udinese;0;0;0;0;0;0;0;0;0;0;0;0
C;"C;T";Helgason;Lecce;0;0;0;0;0;0;0;0;0;0;0;0
C;C;Hrustic;Verona;0;0;0;0;0;0;0;0;0;0;0;0
C;"C;T";Ilkhan;Torino;0;0;0;0;0;0;0;0;0;0;0;0
C;"M;C";Degli Innocenti;Empoli;0;0;0;0;0;0;0;0;0;0;0;0
C;"M;C";Faticanti;Lecce;0;0;0;0;0;0;0;0;0;0;0;0
C;C;Pisilli;Roma;0;0;0;0;0;0;0;0;0;0;0;0
C;"M;C";Belardinelli;Empoli;0;0;0;0;0;0;0;0;0;0;0;0
C;"M;C";Camara E.;Udinese;0;0;0;0;0;0;0;0;0;0;0;0
C;C;Lella;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0
C;"C;T";Haoudi;Frosinone;0;0;0;0;0;0;0;0;0;0;0;0
C;"M;C";Saco;Napoli;0;0;0;0;0;0;0;0;0;0;0;0
C;"M;C";Joselito;Verona;0;0;0;0;0;0;0;0;0;0;0;0
C;C;Nonge;Juventus;5;4,5;0;0;0;0;0;0;0;1;0;0
C;T;Popovic;Monza;0;0;0;0;0;0;0;0;0;0;0;0
A;Pc;Martinez L.;Inter;6,65;8,73;24;0;0;3;2;1;2;5;0;0
A;A;Dybala;Roma;6,48;8,2;13;0;0;7;7;0;9;3;0;0
A;Pc;Scamacca;Atalanta;6,41;7,89;12;0;0;0;0;0;6;1;0;0
A;Pc;Giroud;Milan;6,26;7,71;15;0;0;5;4;1;8;0;1;0
A;Pc;Osimhen;Napoli;6,36;7,88;15;0;0;5;3;2;2;4;1;0
A;Pc;Thuram;Inter;6,54;7,81;13;0;0;0;0;0;7;3;0;0
A;A;Lookman;Atalanta;6,37;7,63;11;0;0;0;0;0;7;4;0;0
A;Pc;Vlahovic;Juventus;6,18;7,42;16;0;0;4;2;2;3;6;1;0
A;A;Rafael Leao;Milan;6,39;7,41;9;0;0;0;0;0;9;5;0;0
A;Pc;Zapata D.;Torino;6,26;7,36;13;0;0;0;0;0;3;2;0;0
A;A;Gonzalez N.;Fiorentina;6,31;7,4;12;0;0;3;1;2;2;1;0;0
A;Pc;Zirkzee;Bologna;6,43;7,4;11;0;0;2;2;0;4;8;0;0
A;A;Chiesa;Juventus;6,28;7,17;9;0;0;1;1;0;2;1;0;0
A;A;Kvaratskhelia;Napoli;6,25;7,25;11;0;0;0;0;0;5;8;0;0
A;A;Berardi;Sassuolo;6,53;8,06;9;0;0;5;5;0;2;6;0;0
A;"W;A";Soule';Frosinone;6,29;7,07;11;0;0;6;5;1;2;4;0;1
A;Pc;Lukaku;Roma;6,09;7,2;13;0;0;1;0;1;3;5;1;0
A;Pc;Cabral;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0
A;Pc;Okafor;Milan;6,21;7,02;6;0;0;0;0;0;2;1;0;0
A;Pc;Beto;Udinese;5,5;5,5;0;0;0;0;0;0;0;0;0;0
A;Pc;Retegui;Genoa;6,09;6,79;7;0;0;1;1;0;2;5;0;0
A;Pc;Belotti;Fiorentina;6,21;7,1;6;0;0;0;0;0;4;1;0;0
A;Pc;Pinamonti;Sassuolo;5,92;6,7;11;0;0;3;2;1;1;4;0;0
A;A;Ngonge;Napoli;6,14;6,86;7;0;0;0;0;0;2;6;0;0
A;Pc;Lucca;Udinese;6,04;6,75;8;0;0;0;0;0;3;6;0;0
A;A;Luvumbo;Cagliari;6,27;6,75;4;0;0;0;0;0;5;5;0;0
A;Pc;Djuric;Monza;6,08;6,67;9;0;0;3;1;2;2;4;0;0
A;Pc;Beltran L.;Fiorentina;6,12;6,65;6;0;0;1;1;0;1;6;0;0
A;Pc;Cheddira;Frosinone;6,05;6,76;7;0;0;1;1;0;1;0;0;0
A;Pc;Immobile;Lazio;5,91;6,59;7;0;0;4;4;0;1;8;0;0
A;A;Thauvin;Udinese;6,2;6,84;5;0;0;1;1;0;3;4;0;0
A;A;Sanchez;Inter;6,18;6,76;2;0;0;1;1;0;5;0;0;0
A;Pc;Arnautovic;Inter;6,15;6,9;5;0;0;0;0;0;3;0;0;0
A;A;Lauriente';Sassuolo;5,99;6,46;5;0;0;0;0;0;5;5;0;0
A;Pc;Muriel;Atalanta;6,15;6,69;2;0;0;0;0;0;1;0;0;0
A;Pc;Piccoli;Lecce;6,02;6,41;5;0;0;1;1;0;0;5;0;0
A;A;Raspadori;Napoli;5,98;6,44;5;0;0;1;0;1;3;0;0;0
A;A;Ekuban;Genoa;6,09;6,65;4;0;0;0;0;0;1;0;0;0
A;Pc;Azmoun;Roma;6,23;6,77;3;0;0;0;0;0;0;4;0;0
A;"W;A";Noslin;Verona;6,35;7,41;5;0;0;0;0;0;4;2;0;0
A;Pc;Niang;Empoli;6,36;7,68;6;0;0;4;4;0;1;1;0;0
A;Pc;Jovic;Milan;5,89;6,79;6;0;0;0;0;0;1;2;1;0
A;A;Barrow;Bologna;0;0;0;0;0;0;0;0;0;0;0;0
A;A;Cambiaghi;Empoli;6,14;6,2;1;0;0;0;0;0;1;3;0;0
A;Pc;Dia;Salernitana;5,85;6,53;4;0;0;1;1;0;0;1;0;0
A;Pc;Ceesay;Lecce;0;0;0;0;0;0;0;0;0;0;0;0
A;A;Mota;Monza;6;6,41;4;0;0;0;0;0;3;3;0;0
A;Pc;Vitinha O.;Genoa;6,42;7,33;2;0;0;0;0;0;0;2;0;0
A;Pc;Castellanos;Lazio;5,87;6,32;4;0;0;0;0;0;3;2;0;0
A;Pc;Sanabria;Torino;5,84;6,24;5;0;0;2;2;0;0;2;0;0
A;Pc;Milik;Juventus;6;6,46;4;0;0;0;0;0;1;2;1;0
A;Pc;Shomurodov;Cagliari;5,85;6,42;3;0;0;0;0;0;3;1;0;0
A;A;Cancellieri;Empoli;6;6,31;4;0;0;0;0;0;2;7;0;0
A;Pc;Toure' E.;Atalanta;6;6,56;2;0;0;0;0;0;0;2;0;0
A;A;Isaksen;Lazio;6,07;6,46;3;0;0;0;0;0;1;3;0;0
A;A;Yildiz;Juventus;6,05;6,29;2;0;0;0;0;0;0;3;0;0
A;Pc;Krstovic;Lecce;5,91;6,3;7;0;0;3;1;2;1;4;1;0
A;A;Correa;Inter;0;0;0;0;0;0;0;0;0;0;0;0
A;A;Kouame';Fiorentina;5,95;6,3;2;0;0;0;0;0;1;0;0;0
A;A;Lozano;Napoli;0;0;0;0;0;0;0;0;0;0;0;0
A;A;Almqvist;Lecce;5,98;6,13;2;0;0;0;0;0;1;5;0;0
A;A;Sansone;Lecce;6,02;6,3;2;0;0;0;0;0;2;4;0;0
A;Pc;Lapadula;Cagliari;5,88;6,24;3;0;0;1;1;0;0;3;0;0
A;Pc;Colombo;Monza;5,89;6,39;4;0;0;0;0;0;1;3;0;0
A;A;Banda;Lecce;6,07;6,33;2;0;0;0;0;0;3;5;1;0
A;Pc;Swiderski;Verona;6,08;6,54;2;0;0;0;0;0;0;0;0;0
A;Pc;Pavoletti;Cagliari;6,25;7,04;4;0;0;0;0;0;1;4;0;0
A;A;Defrel;Sassuolo;5,92;6,31;1;0;0;0;0;0;2;0;0;0
A;A;Di Francesco F.;Lecce;7;10;1;0;0;0;0;0;0;0;0;0
A;"W;A";Brekalo;Fiorentina;5,91;6,18;1;0;0;0;0;0;0;0;0;0
A;A;Bonazzoli;Verona;5,89;6,3;3;0;0;0;0;0;1;2;0;0
A;Pc;Simy;Salernitana;6;6,82;3;0;0;0;0;0;0;0;0;0
A;Pc;Abraham;Roma;5,83;6,25;1;0;0;0;0;0;0;1;0;0
A;Pc;Odgaard;Bologna;6,22;7;2;0;0;0;0;0;1;1;0;0
A;Pc;Nzola;Fiorentina;5,74;6,09;3;0;0;1;1;0;2;2;0;0
A;Pc;Cerri;Empoli;5,86;6,05;1;0;0;0;0;0;0;2;0;0
A;A;Pedro;Lazio;5,92;6;1;0;0;0;0;0;1;4;0;0
A;Pc;Caputo;Empoli;5,7;6,15;3;0;0;1;1;0;0;0;0;0
A;Pc;Kaio Jorge;Frosinone;5,93;6,29;3;0;0;2;1;1;0;2;0;0
A;Pc;Davis K.;Udinese;6,2;6,6;1;0;0;0;0;0;0;2;0;0
A;A;Jovane;Salernitana;5,9;6,15;1;0;0;0;0;0;0;1;0;0
A;A;Solbakken;Roma;5,5;5,5;0;0;0;0;0;0;0;0;0;0
A;Pc;Maric;Monza;6,07;6,5;1;0;0;0;0;0;0;0;0;0
A;Pc;Lasagna;Verona;0;0;0;0;0;0;0;0;0;0;0;0
A;Pc;Pellegri;Torino;5,87;6,03;1;0;0;0;0;0;1;3;0;0
A;Pc;Coda M.;Genoa;0;0;0;0;0;0;0;0;0;0;0;0
A;Pc;Okereke;Torino;5,8;5,8;0;0;0;0;0;0;0;0;0;0
A;Pc;Henry;Verona;5,91;6,32;3;0;0;1;0;1;0;2;1;0
A;A;Pierotti;Lecce;6,07;6,21;0;0;0;0;0;0;1;0;0;0
A;Pc;Castro S.;Bologna;6;6,5;1;0;0;0;0;0;0;1;0;0
A;Pc;Weissman;Salernitana;5,73;6;1;0;0;0;0;0;0;0;0;0
A;Pc;Petagna;Cagliari;5,8;6;1;0;0;0;0;0;1;2;0;0
A;Pc;Kean;Juventus;6;5,93;0;0;0;0;0;0;0;2;0;0
A;A;Karamoh;Torino;6,1;6,1;0;0;0;0;0;0;0;0;0;0
A;A;Success;Udinese;5,84;5,82;1;0;0;1;0;1;1;4;0;0
A;Pc;Cuni;Frosinone;5,94;6,28;1;0;0;0;0;0;0;0;0;0
A;Pc;Ikwuemesi;Salernitana;5,67;5,8;1;0;0;0;0;0;1;2;0;0
